Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
VISHWARAJ,974,20.36,18.07,17600.18,-2229.42,-11.24,6.36
VMARCIND-SM,3000,31.4,183,549000,454800,482.8,1.39
VMART,45,2122.13,2084.75,93813.75,-1682.05,-1.76,-2.45
VTL,30,421.32,421.55,12646.5,6.8,0.05,-1.18
WAAREERTL,50,1265.37,4233.1,211655,148386.75,234.54,5
WABAG,200,241.28,661.8,132360,84104.65,174.29,-2.02
WARDINMOBI,800,42.51,74,59200,25190,74.07,-0.54
WATERBASE,200,87.03,92.32,18464,1058.9,6.08,3.24
WEBELSOLAR,200,170.69,407.6,81520,47382.95,138.8,5
WELCORP,25,218.37,590.8,14770,9310.75,170.55,0.34
WELSPUNLIV,200,63.18,156.25,31250,18614,147.31,-4.23
WHITEORG,500,8.43,10.46,5230,1016.4,24.12,0.19
WPIL,55,1039.49,4496,247280,190108.3,332.52,1.83
XCHANGING,200,81.5,116.4,23280,6980,42.82,3.42
XELPMOC,100,168.76,127,12700,-4175.55,-24.74,1.84
ZENSARTECH,75,298.48,562.85,42213.75,19827.5,88.57,-0.62
ZOMATO,400,75.83,143.85,57540,27210,89.71,2.35
ZUARI,150,140.76,235.7,35355,14241.25,67.45,-2
ZYDUSWELL,20,1460,1600.8,32016,2816,9.64,0.43
