Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
HUBTOWN,344,30.23,143.95,49518.8,39118.04,376.11,-3.32
IBULHSGFIN,1050,162.5,189.55,199027.5,28401.65,16.65,-2.24
IMFA,100,300.89,634.9,63490,33401.25,111.01,-2.21
INDAG,50,67.4,159.15,7957.5,4587.5,136.13,-2.72
INDIANACRY,1000,11.68,17.24,17240,5560,47.6,-0.06
INDIANHUME,269,153.55,247.1,66469.9,25165.05,60.93,0.55
INDOBORAX,100,161.4,198.45,19845,3705,22.96,-0.63
INDSWFTLAB,500,63.75,107.55,53775,21900,68.71,1.27
INSECTICID,50,452.1,606.75,30337.5,7732.5,34.21,-2.76
IOC,1,73.4,163,163,89.6,122.07,8.88
IOLCP,285,280.73,441.1,125713.5,45706,57.13,-0.33
IRIS,300,96.44,134.45,40335,11403.45,39.42,-2.04
ISEC,126,430.51,817.2,102967.2,48723.55,89.82,-0.45
ISGEC,28,581.55,1038.45,29076.6,12793.2,78.57,0.21
ISTLTD,71,472,900,63900,30388,90.68,-0.11
ITBEES,2108,29.56,39.48,83223.84,20909.15,33.55,2.04
JAMNAAUTO,200,116.95,118.5,23700,310,1.33,1.63
JAYAGROGN,50,188.38,266.45,13322.5,3903.35,41.44,1.56
JAYNECOIND,300,22.7,49.13,14739,7929,116.43,4.55
JBMA,10,1567.98,1956,19560,3880.2,24.75,-0.37
JHS,500,21.05,33.22,16610,6085.5,57.82,-4.98
JINDALSTEL,44,571.21,776.1,34148.4,9015.25,35.87,4.55
JKIL,51,173.49,665.55,33943.05,25095.25,283.63,4.05
JKLAKSHMI,40,460.9,919.5,36780,18344,99.5,-1.11
JKPAPER,100,221,417.3,41730,19630,88.82,-2.94
JMFINANCIL,400,65.5,111.7,44680,18480,70.53,0.77
JOCIL,1,192.65,245.75,245.75,53.1,27.56,0.1
JPASSOCIAT,1000,8.52,22,22000,13480,158.22,1.38
JPPOWER,700,3.89,19,13300,10580,388.97,4.57
JSL,49,150.29,596.55,29230.95,21866.53,296.92,5.66
JSWINFRA,250,224.56,224.5,56125,-15.2,-0.03,3.1
JUBLINGREA,31,467.75,426.75,13229.25,0,0,-1.17
JWL,176,227.7,405.5,71368,31292.3,78.08,2.41
KAKATCEM,50,263.18,249.55,12477.5,-681.25,-5.18,-2.04
KANCHI,20,694.9,409.9,8198,-5700,-41.01,0.47
KBCGLOBAL,1500,2.2,2.26,3390,90,2.73,1.8
KHADIM,100,277.23,374,37400,9677.4,34.91,-3.35
KIRIINDUS,60,274.4,402.6,24156,7692,46.72,-0.21
KIRLOSENG,200,176.58,712.15,142430,107115,303.31,0.64
KIRLPNU,21,401.22,658.15,13821.15,5395.45,64.04,-1.89
KKCL,50,200.6,761.25,38062.5,28032.5,279.49,-0.75
KLBRENG-B,125,285.18,287.7,35962.5,314.5,0.88,3.73
KLRFM,151,68,243.05,36700.55,26432.55,257.43,-13.41
KMCSHIL,300,85.96,96.74,29022,3234,12.54,-1.28
KNRCON,50,244.48,283.2,14160,1936.1,15.84,2.7
KOTARISUG,500,35.85,60.6,30300,12375,69.04,6.13
KRITINUT,400,32.65,120,48000,34940.75,267.56,1.74
KRSNAA,20,497,732.9,14658,4718,47.46,2.1
KSCL,1,576.25,673.95,673.95,97.7,16.95,-5.8
KUANTUM,37,156.53,172.75,6391.75,600.05,10.36,-3.25
LALPATHLAB,17,1811.15,2453.25,41705.25,10915.7,35.45,-1.85
LAURUSLABS,160,349.34,392.6,62816,6921.9,12.38,0.86
LEHAR,200,33.2,137,27400,20760,312.65,-0.11
LEMONTREE,200,45,142.1,28420,19420,215.78,2.67
LIBAS,2000,14.8,22.7,45400,15800,53.38,8.1
LIKHITHA,70,235.51,259.2,18144,1658,10.06,-1.28
LOVABLE,50,152.34,149.55,7477.5,-139.35,-1.83,-2.19
LTIM,4,5195.85,5485.85,21943.4,1160,5.58,2.26
LUMAXTECH,200,146.52,393.6,78720,49415.45,168.63,-0.96
LXCHEM,200,272.86,265.7,53140,-1431.6,-2.62,-0.51
