Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
LAURUSLABS,200,306.81,427.3,85460.0,24097.15,39.27,-0.75
LTIM,7,4543.7,5947.65,41633.55,9827.65,30.9,1.39
LTTS,10,3637.35,5217.7,52177.0,15803.55,43.45,-0.23
POONAWALLA,60,207.74,459.55,27573.0,15108.7,121.22,2.03
MAPMYINDIA,10,1110.86,1965.35,19653.5,8544.9,76.92,1.47
MATRIMONY,65,511.0,574.2,37323.0,4108.0,12.37,-0.73
MEP,1750,12.16,15.79,27632.5,6352.5,29.85,3.27
MGL,25,1032.65,1238.1,30952.5,5136.25,19.9,0.8
MINDACORP,230,143.24,380.85,87595.5,54650.2,165.88,0.17
NACLIND,100,77.05,76.85,7685.0,-20.0,-0.26,0.33
NATIONALUM,103,81.84,128.1,13194.3,4765.15,56.53,-1.88
NIKHILAD,90,65.0,123.65,11128.5,5278.5,90.23,-0.92
NMDC,1,66.37,222.7,222.7,156.33,235.54,-0.38
PARACABLES,1,12.4,96.74,96.74,84.34,680.16,3.11
PAYTM,90,644.73,685.15,61663.5,3638.25,6.27,2.46
PCJEWELLER,400,27.63,56.69,22676.0,11626.0,105.21,-3.96
PNCINFRA,89,280.6,350.0,31150.0,6176.7,24.73,-0.62
POLICYBZR,90,434.13,798.8,71892.0,32820.75,84.0,1.91
PRAKASH-BE,180,53.75,191.1,34398.0,24723.0,255.53,-2.08
RAIN,450,146.0,152.95,68827.5,3127.5,4.76,-0.16
RAYMOND,17,1194.55,1739.55,29572.35,9264.95,45.62,-0.22
RBL,25,613.64,864.9,21622.5,6281.4,40.94,1.5
RGL,81,105.1,109.7,8885.7,372.4,4.37,-3.05
RUBFILA,350,62.85,80.88,28308.0,6310.5,28.69,0.06
SATIA,129,140.34,140.55,18130.95,27.55,0.15,-0.5
SEQUENT,401,69.3,126.4,50686.4,22897.1,82.4,-2.99
SHARDACROP,20,459.94,444.3,8886.0,-312.8,-3.4,-0.72
SHRIRAMFIN,15,2037.81,2172.4,32586.0,2018.8,6.6,1.13
SMCGLOBAL,273,85.61,105.8,28883.4,5511.75,23.58,1.88
SONACOMS,29,446.25,647.1,18765.9,5824.75,45.01,-0.22
SUPERHOUSE,100,165.0,257.85,25785.0,9285.4,56.28,-0.62
SWSOLAR,19,316.3,448.25,8516.75,2507.05,41.72,0.66
TFCILTD,100,62.6,125.8,12580.0,6320.0,100.96,-1.22
TGVSL,150,37.59,107.25,16087.5,10448.75,185.3,-3.51
TRITURBINE,75,96.9,412.9,30967.5,23699.85,326.1,-2.05
TV18BRDCST,200,27.5,54.3,10860.0,5360.0,97.45,2.98
UMANGDAIRY,200,60.88,76.3,15260.0,3085.0,25.34,-0.78
VERTOZ,200,92.55,487.75,97550.0,79040.0,427.01,4.99
VISAKAIND,250,66.36,90.84,22710.0,6120.8,36.9,3.62
WABAG,50,474.53,655.0,32750.0,9023.4,38.03,2.3
XELPMOC,25,89.0,118.65,2966.25,741.25,33.31,0.94
ZEELEARN,750,3.45,8.28,6210.0,3622.5,140.0,4.94
AARTISURF,70,617.37,729.0,51030.0,7814.45,18.08,-0.94
ABCAPITAL,100,126.38,175.15,17515.0,4877.5,38.6,0.66
ABFRL,300,205.27,238.1,71430.0,9847.95,15.99,-3.51
ABMKNO,200,112.85,142.0,28400.0,5830.0,25.83,2.23
ACCELYA,30,954.6,1464.9,43947.0,15309.0,53.46,3.31
ACE,200,183.3,912.85,182570.0,145909.65,398.0,1.4
ACI,60,649.25,637.45,38247.0,-708.0,-1.82,-1.7
ADORWELD,20,1212.22,1539.05,30781.0,6536.55,26.96,-1.16
ADROITINFO,1800,20.36,24.21,43578.0,6928.0,18.9,0.25
ADVENZYMES,123,226.42,376.05,46254.15,18404.3,66.08,-0.42
AEROFLEX,300,164.65,159.05,47715.0,-1680.0,-3.4,1.4
AFFLE,10,1019.9,1307.0,13070.0,2871.05,28.15,-0.56
AFFORDABLE,1600,55.7,545.1,872160.0,783040.0,878.64,-3.14
AGI,100,225.64,888.9,88890.0,66326.4,293.95,1.79
AHLADA,100,154.9,149.9,14990.0,-500.0,-3.23,-2.95
AIAENG,2,1608.0,3624.35,7248.7,4032.7,125.39,0.6
AIROLAM,300,89.3,139.25,41775.0,14985.0,55.94,-4.49
AKSHOPTFBR,500,13.3,14.4,7200.0,550.0,8.27,-2.04
ALKYLAMINE,5,2899.9,2643.75,13218.75,-1280.75,-8.83,-0.69
ALLCARGO,150,253.44,90.8,13620.0,-24395.5,-64.17,1.0
ALOKTEXT,400,25.95,32.44,12976.0,2596.0,25.01,19.53
AMBER,20,2221.18,3259.65,65193.0,20769.45,46.75,2.19
AMBIKCO,18,1632.36,1753.4,31561.2,2178.7,7.41,-1.51
AMBUJACEM,100,334.03,542.35,54235.0,20832.5,62.37,-1.29
AMIORG,25,1083.0,1150.9,28772.5,1697.5,6.27,-1.46
ANDHRSUGAR,100,107.34,110.85,11085.0,350.6,3.27,-0.67
ANGELONE,80,1317.83,3745.45,299636.0,194209.25,184.21,4.37
